bornIn,tmdbId,born,name,bio,died,poster,n.url
"""Burchard, Nebraska, USA""","""88953""","""1893-04-20""","""Harold Lloyd""","""Harold Lloyd has been called the cinema’s “first man in space. ” He was a product of the film industry.  His comedy wasn’t imported from Vaudeville or the British Music Hall like his contemporaries, Charlie Chaplin and Buster Keaton.  Harold learned to use the camera the way other comics used a bowler hat or a funny walk...""","""1971-03-08""","""https://image.tmdb.org/t/p/w440_and_h660_face/er4ZNznuum2v8vqeZr2fT3Friqo.jpg""","""https://themoviedb.org/person/88953"""
"""Arnoldsdorf, West Prussia, Germany [now Jarantowice, Kujawsko-Pomorskie, Poland]""","""29123""","""1874-12-11""","""Paul Wegener""","""Paul Wegener was a German actor known for his pioneering roles in Expressionist films.  He can also be considered a father of horror for his breakout role in The Student of Prague (1913).  Wegener maintained a career throughout and after the Nazi era, starring in his last film in 1948...""","""1948-09-13""","""https://image.tmdb.org/t/p/w440_and_h660_face/6D04qOrnJNNeCiZef0hxRqUt1B4.jpg""","""https://themoviedb.org/person/29123"""
"""Piqua, Kansas, USA""","""8635""","""1895-10-04""","""Buster Keaton""","""Buster Keaton was an American comic actor, filmmaker, producer and writer.  He was best known for his silent films, in which his trademark was physical comedy with a consistently stoic, deadpan expression, earning him the nickname \""The Great Stone Face\"". 

Keaton was recognized as the seventh-greatest director of all time by Entertainment Weekly.  In 1999, the American Film Institute ranked Keaton the 21st-greatest male star of all time...""","""1966-02-01""","""https://image.tmdb.org/t/p/w440_and_h660_face/kEybBFkO5AX83o3WKyNDfuvfVrn.jpg""","""https://themoviedb.org/person/8635"""
"""Los Angeles, California, USA""","""143998""","""1897-05-17""","""Malcolm St. Clair""",null,"""1952-06-01""","""https://image.tmdb.org/t/p/w440_and_h660_face/eeTYVC0RKAZzhylzNbX1MuXF4TB.jpg""","""https://themoviedb.org/person/143998"""
"""Kenosha, Wisconsin, USA""","""13953""","""1891-11-04""","""Edward F. Cline""","""Edward F.  Cline was an American screenwriter, actor, writer, and director...""","""1961-05-22""","""https://image.tmdb.org/t/p/w440_and_h660_face/6lNCZC7XJCXcaw3dhVYX6MxIvLf.jpg""","""https://themoviedb.org/person/13953"""
"""Colorado Springs, Colorado, USA""","""14481""","""1883-04-01""","""Lon Chaney""","""Lon Chaney (born Leonidas Frank Chaney) - nicknamed \""Man of a Thousand Faces\"" - was an American Silent screen star.  He died after completing his only sound film...""","""1930-08-26""","""https://image.tmdb.org/t/p/w440_and_h660_face/3wZ0n7Yt0JSMju2UAyWYOtLgUzG.jpg""","""https://themoviedb.org/person/14481"""
"""Bow, London, England, UK""","""8841""","""1882-07-27""","""Donald Crisp""","""Donald Crisp was born George William Crisp at the family home in Bow,  London.  Donald's parents were James Crisp and Elizabeth Crisp, his birth  was registered by his mother on 4th September 1882.  Donald's sisters  were Elizabeth, Ann, Alice (known as Louisa) and Eliza and his brothers  were James, John and Mark.  Family memories state that Donald's  brother-in-law James Needham (Louisa's husband) lent/gave Donald the  fare to USA...""","""1974-05-25""","""https://image.tmdb.org/t/p/w440_and_h660_face/rZHp5vzagKpvCQaf7HLtI9PeHXi.jpg""","""https://themoviedb.org/person/8841"""
"""Hermosa, Chicago, Illinois, USA""","""2106""","""1901-12-05""","""Walt Disney""","""​From Wikipedia, the free encyclopedia.   

Walter Elias \""Walt\"" Disney (December 5, 1901 – December 15, 1966) was an American film producer, director, screenwriter, voice actor, animator, entrepreneur, entertainer, international icon, and philanthropist, well-known for his influence in the field of entertainment during the 20th century.  Along with his brother Roy O...""","""1966-12-15""","""https://image.tmdb.org/t/p/w440_and_h660_face/rucTIeVtozKer6TmCYBxFr8Wy2q.jpg""","""https://themoviedb.org/person/2106"""
"""West Newton, Massachusetts, United States""","""13355""","""1892-05-16""","""Osgood Perkins""","""​From Wikipedia, the free encyclopedia.   

Osgood Perkins (May 16, 1892 – September 21, 1937) was an American actor. Perkins was born James Ripley Osgood Perkins in West Newton, Massachusetts, the son of Helen Virginia (née Anthony) and Henry Phelps Perkins.  He is a descendant of a Mayflower passenger John Howland.  Perkins made his Broadway debut in 1924 in the George S.  Kaufman – Marc Connelly play Beggar on Horseback...""","""1937-09-21""","""https://image.tmdb.org/t/p/w440_and_h660_face/tU3scIG5k7dG3cRagxn3wWHrMSS.jpg""","""https://themoviedb.org/person/13355"""
"""Scarborough, North Riding of Yorkshire, England, UK""","""10921""","""1899-07-01""","""Charles Laughton""","""From Wikipedia, the free encyclopedia. 

Charles Laughton (1 July 1899 – 15 December 1962) was an English-American stage and film actor, director, producer and screenwriter.  Laughton was trained in London at the Royal Academy of Dramatic Art and first appeared professionally on the stage in 1926.  In 1927, he was cast in a play with his future wife Elsa Lanchester, with whom he lived and worked until his death...""","""1962-12-15""","""https://image.tmdb.org/t/p/w440_and_h660_face/eRTDXGpo3JHA5tQ299lJTxeuFao.jpg""","""https://themoviedb.org/person/10921"""
"""Winterset, Iowa, USA ""","""4165""","""1907-05-26""","""John Wayne""","""Marion Mitchell Morrison (born Marion Robert Morrison; May 26, 1907 – June 11, 1979), known professionally as John Wayne and nicknamed Duke, was an American actor and filmmaker.  An Academy Award-winner for True Grit (1969), Wayne was among the top box office draws for three decades. 

Born in Winterset, Iowa, Wayne grew up in Southern California.  He was president of Glendale High class of 1925...""","""1979-06-11""","""https://image.tmdb.org/t/p/w440_and_h660_face/iqEHYrf2d9m5JlLBHsvsd34SIZr.jpg""","""https://themoviedb.org/person/4165"""
"""Camberwell, London, UK""","""46617""","""1918-02-04""","""Ida Lupino""","""Ida Lupino (4 February 1918 – 3 August 1995) was an English-American film actress and director, and a pioneer among women filmmakers.  In her 48-year career, she appeared in 59 films and directed seven others.  She also appeared in serial television programmes 58 times and directed 50 other episodes.  In addition, she contributed as a writer to five films and four TV episodes. 

Description above from the Wikipedia article Ida Lupino, licensed under CC-BY-SA, full list of contributors on Wikipedia...""","""1995-08-03""","""https://image.tmdb.org/t/p/w440_and_h660_face/mJx87Iq7J2ymTg8CZ0EWK7yHSmt.jpg""","""https://themoviedb.org/person/46617"""
"""Forest Hill, London, England, UK""","""11493""","""1893-04-03""","""Leslie Howard""","""From Wikipedia, the free encyclopedia

Leslie Howard (3 April 1893 – 1 June 1943) was an English stage and film actor, director, and producer.  Among his best-known roles was Ashley Wilkes in Gone with the Wind (1939) and roles in Of Human Bondage (1934), The Scarlet Pimpernel (1934), The Petrified Forest (1936), Pygmalion (1938), and Intermezzo (1939). 

Howard's Second World War activities included acting and filmmaking...""","""1943-06-01""","""https://image.tmdb.org/t/p/w440_and_h660_face/8ZGrKIKCPL9CRKpGFZB68QQbHuo.jpg""","""https://themoviedb.org/person/11493"""
"""Vienna, Austria-Hungary [now Austria]""","""8630""","""1885-09-22""","""Erich von Stroheim""","""From Wikipedia

Erich von Stroheim (September 22, 1885 – May 12, 1957) was an Austrian-born film star of the silent era, subsequently noted as an auteur for his directorial work...""","""1957-05-12""","""https://image.tmdb.org/t/p/w440_and_h660_face/v0DY16kMSMAqIdI3yYSRGYiz37c.jpg""","""https://themoviedb.org/person/8630"""
"""Dorking, Surrey, England, UK""","""3359""","""1907-05-22""","""Laurence Olivier""","""Laurence Kerr Olivier, Baron Olivier, OM (22 May 1907 – 11 July 1989) was an English actor and director who, along with his contemporaries Ralph Richardson, Peggy Ashcroft and John Gielgud, dominated the British stage of the mid-20th century.  He also worked in films throughout his career, playing more than fifty cinema roles.  Late in his career, he had considerable success in television roles...""","""1989-07-11""","""https://image.tmdb.org/t/p/w440_and_h660_face/q8XmXrFIu6aPqkyAI5JhCYQm4Kk.jpg""","""https://themoviedb.org/person/3359"""
"""Filley, Nebraska, USA""","""82216""","""1911-08-05""","""Robert Taylor""","""From Wikipedia, the free encyclopedia. 

Robert Taylor (born Spangler Arlington Brugh; August 5, 1911 – June 8, 1969) was an American film and television actor who was one of the most popular leading men of his time. 

Taylor began his career in films in 1934 when he signed with Metro-Goldwyn-Mayer.  He won his first leading role the following year in Magnificent Obsession...""","""1969-06-08""","""https://image.tmdb.org/t/p/w440_and_h660_face/mdqt2422xSs2uN7Cju9W2jWVDlF.jpg""","""https://themoviedb.org/person/82216"""
"""Fishkill Landing [now Beacon], New York, USA""","""19406""","""1904-05-21""","""Robert Montgomery""","""From Wikipedia, the free encyclopedia

Robert Montgomery (born Henry Montgomery Jr. ; May 21, 1904 – September 27, 1981) was an American film and television actor, director, and producer.  He was also the father of actress Elizabeth Montgomery. 

Montgomery settled in New York City to try his hand at writing and acting.  He established a stage career, and became popular enough to turn down an offer to appear opposite Vilma Bánky in the film This Is Heaven (1929)...""","""1981-09-27""","""https://image.tmdb.org/t/p/w440_and_h660_face/o2H1yxVxbxlTWP1PZDFXv6oxiFj.jpg""","""https://themoviedb.org/person/19406"""
"""Trieste, Austria-Hungary""","""4112""","""1908-01-10""","""Paul Henreid""","""From Wikipedia, the free encyclopedia.   

Paul Henreid (10 January 1908 – 29 March 1992), whose birthname was Paul Georg Julius Hernreid Ritter von Wassel-Waldingau, was an Austrian actor and film director.  Henreid's best remembered role is as Victor Laszlo in Casablanca (1942). 

Description above from the Wikipedia article Paul Henreid, licensed under CC-BY-SA, full list of contributors on Wikipedia...""","""1992-03-29""","""https://image.tmdb.org/t/p/w440_and_h660_face/aKMN2qy2vFoiGAndEzVkFZuhG01.jpg""","""https://themoviedb.org/person/4112"""
"""San Francisco, California, USA""","""23626""","""1967-10-04""","""Liev Schreiber""","""Liev Schreiber is an American actor, producer, director and screenwriter.  He became known during the late 1990s and early 2000s, having initially appeared in several independent films, and later mainstream Hollywood films, including the Scream trilogy of horror films, The Sum of All Fears, X-Men Origins: Wolverine, and Salt.  Schreiber is also a respected stage actor, having performed in several Broadway productions...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/miHBraMiP8d76eT81LErC6kAx3D.jpg""","""https://themoviedb.org/person/23626"""
"""Kenosha, Wisconsin, USA""","""40""","""1915-05-06""","""Orson Welles""","""George Orson Welles (May 6, 1915 – October 10, 1985), best known as Orson Welles, was an American film director, actor, theatre director, screenwriter, and producer, who worked extensively in film, theatre, television and radio...""","""1985-10-10""","""https://image.tmdb.org/t/p/w440_and_h660_face/c5wKlmD001cQAqJjvDbVOTVeAyV.jpg""","""https://themoviedb.org/person/40"""
"""Mountain View, Arkansas, USA""","""19328""","""1904-11-14""","""Dick Powell""","""Richard Ewing \""Dick\"" Powell (November 14, 1904 – January 2, 1963) was an American singer, actor, producer, director and studio boss. 

Born in Mountain View, the seat of Stone County in northern Arkansas, Powell attended the former Little Rock College in the state capital, before he started his entertainment career as a singer with the Charlie Davis Orchestra, based in the midwest.  He recorded a number of records with Davis and on his own, for the Vocalion label in the late 1920s...""","""1963-01-02""","""https://image.tmdb.org/t/p/w440_and_h660_face/xyUlt3yZZe4RUZq1yEXyhpuxU9W.jpg""","""https://themoviedb.org/person/19328"""
"""Pittsburgh, Pennsylvania, USA""","""13294""","""1912-08-23""","""Gene Kelly""","""Metro-Goldwyn-Mayer was the largest and most powerful studio in Hollywood when Gene Kelly arrived in town in 1941.  He came direct from the hit 1940 original Broadway production of \""Pal Joey\"" and planned to return to the Broadway stage after making the one film required by his contract.  His first picture for Metro-Goldwyn-Mayer was For Me and My Gal (1942) with Judy Garland.  What kept Kelly in Hollywood were \""the kindred creative spirits\"" he found behind the scenes at Metro-Goldwyn-Mayer...""","""1996-02-02""","""https://image.tmdb.org/t/p/w440_and_h660_face/g98yyY7oGrkocUxxJgOt82I7z6A.jpg""","""https://themoviedb.org/person/13294"""
"""Vancouver, British Columbia, Canada""","""14502""","""1914-01-31""","""John Ireland""","""John Benjamin Ireland (January 30, 1914 – March 21, 1992) was a Canadian-American actor and film director.  He was nominated for an Academy Award for his performance in All the King's Men (1949), making him the first Vancouver-born actor to receive an Academy Award nomination. 

Ireland was a supporting actor in several famous Western films such as My Darling Clementine (1946), Red River (1948), Vengeance Valley (1951), and Gunfight at the O. K.  Corral (1957)...""","""1992-03-21""","""https://image.tmdb.org/t/p/w440_and_h660_face/uVqlrLTVzc9pqIMkAPMIuqHxhRb.jpg""","""https://themoviedb.org/person/14502"""
"""New York City, New York, USA""","""13784""","""1913-11-02""","""Burt Lancaster""","""From Wikipedia, the free encyclopedia

Burton Stephen \""Burt\"" Lancaster (November 2, 1913 – October 20, 1994) was an American film actor noted for his athletic physique and distinctive smile (which he called \""The Grin\"").  Later he took roles that went against his initial \""tough guy\"" image.  In the late 1950s Lancaster abandoned his \""all-American\"" image and came to be regarded as one of the best actors of his generation...""","""1994-10-20""","""https://image.tmdb.org/t/p/w440_and_h660_face/qmxwPU1KuxvmptKr5vU7TfaO5Bo.jpg""","""https://themoviedb.org/person/13784"""
"""Bridgeport, Connecticut, USA""","""10158""","""1917-08-06""","""Robert Mitchum""","""Robert Charles Durman Mitchum  (August 6, 1917 – July 1, 1997) was an American film actor, author, composer and singer and is #23 on the American Film Institute's list of the greatest male American screen legends of all time.  Mitchum is largely remembered for his starring roles in several major works of the film noir style, and is considered a forerunner of the anti-heroes prevalent in film during the 1950s and 1960s...""","""1997-07-01""","""https://image.tmdb.org/t/p/w440_and_h660_face/4SpuhiEDFXqONdtUbqW7HMyo5Nb.jpg""","""https://themoviedb.org/person/10158"""
"""Hollywood, California, USA""","""39608""","""1926-08-12""","""John Derek""","""From Wikipedia, the free encyclopedia.  

John Derek (August 12, 1926 – May 22, 1998) was an American actor, director and photographer most famous for the women to whom he was married. 

Description above from the Wikipedia article John Derek, licensed under CC-BY-SA, full list of contributors on Wikipedia...""","""1998-05-22""","""https://image.tmdb.org/t/p/w440_and_h660_face/1Sgu4o8FxyvyafcjLWMu9Qn4W6H.jpg""","""https://themoviedb.org/person/39608"""
"""Newark, New Jersey, USA ""","""3663""","""1926-03-16""","""Jerry Lewis""","""Jerry Lewis (March 16, 1926 - August 20, 2017) was an American comedian, actor, film producer, writer, film director and singer.  He is best-known for his slapstick humor in stage, radio, screen, recording and television.  Lewis is also known for his charity fund-raising telethons and position as national chairman for the Muscular Dystrophy Association (MDA)...""","""2017-08-20""","""https://image.tmdb.org/t/p/w440_and_h660_face/hUZTlaRZua273L6rgA75BWpads3.jpg""","""https://themoviedb.org/person/3663"""
"""Freeport, Pennsylvania, USA""","""9108""","""1920-12-13""","""Don Taylor""","""Don Taylor was an American movie actor and director best known for his performances in 1950s classics like Stalag 17 and Father of the Bride and the 1948 film noir The Naked City.  He later turned to directing films such as Escape from the Planet of the Apes (1971) and Tom Sawyer (1973)...""","""1998-12-29""","""https://image.tmdb.org/t/p/w440_and_h660_face/tFQYFlFtOwK5ueiXiuQyWVXG9SJ.jpg""","""https://themoviedb.org/person/9108"""
"""Omaha, Nebraska, USA""","""3084""","""1924-04-03""","""Marlon Brando""","""Marlon Brando, Jr.  (April 3, 1924 – July 1, 2004) was an American actor who performed for over half a century...""","""2004-07-01""","""https://image.tmdb.org/t/p/w440_and_h660_face/fuTEPMsBtV1zE98ujPONbKiYDc2.jpg""","""https://themoviedb.org/person/3084"""
"""Miami, Florida, USA""","""16897""","""1927-02-20""","""Sidney Poitier""","""Sir Sidney Poitier, KBE (born February 20, 1927) is a Bahamian American actor, film director, author, and diplomat.  In 1963, Poitier became the first black person to win an Academy Award for Best Actor for his role in Lilies of the Field.  The significance of this achievement was later bolstered in 1967 when he starred in three well-received films—To Sir, with Love; In the Heat of the Night; and Guess Who's Coming to Dinner—making him the top box office star of that year...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/fhMiCe3ScxBGKEX6Y6flEJm7iHd.jpg""","""https://themoviedb.org/person/16897"""
null,"""1159927""",null,"""Jack Smith""",null,null,null,"""https://themoviedb.org/person/1159927"""
"""Sora, Frosinone, Lazio, Italy""","""12329""","""1901-07-07""","""Vittorio De Sica""","""Vittorio De Sica (7 July 1901 – 13 November 1974) was an Italian director and actor, a leading figure in the neorealist movement. 

Four of the films he directed won Academy Awards: Sciuscià and Bicycle Thieves (honorary), while Yesterday, Today and Tomorrow and Il giardino dei Finzi Contini won the Academy Award for Best Foreign Language Film...""","""1974-11-13""","""https://image.tmdb.org/t/p/w440_and_h660_face/SObzAVAFAzCSM5nmpvpNdX7oxq.jpg""","""https://themoviedb.org/person/12329"""
"""Wiznitz, Bukovina, Austria-Hungary""","""834""","""1906-12-05""","""Otto Preminger""","""Otto Ludwig Preminger (5 December 1905 – 23 April 1986) was an Austro–Hungarian-American theatre and film director. 

After moving from the theatre to Hollywood, he directed over 35 feature films in a five-decade career.  He rose to prominence for stylish film noir mysteries such as Laura (1944) and Fallen Angel (1945).  In the 1950s and 1960s, he directed a number of high-profile adaptations of popular novels and stage works...""","""1986-04-23""","""https://image.tmdb.org/t/p/w440_and_h660_face/zmJuWBIbWURkB138eD9IPVzpAUt.jpg""","""https://themoviedb.org/person/834"""
"""Le Pecq, Yvelines, France""","""5763""","""1907-10-09""","""Jacques Tati""","""Jacques Tati (born Jacques Tatischeff; 9 October 1907 – 5 November 1982) was a French filmmaker, working both as a comedic actor and director.  In a poll conducted by Entertainment Weekly of the Greatest Movie Directors Tati was voted the 46th greatest of all time.  With only six feature-length films to his credit as director, he directed fewer films than any other director on this list of 50...""","""1982-11-04""","""https://image.tmdb.org/t/p/w440_and_h660_face/6mZch9eKmON3SGQ8gdZitEv449F.jpg""","""https://themoviedb.org/person/5763"""
"""Southsea, Hampshire, England, UK""","""12446""","""1925-09-08""","""Peter Sellers""","""From Wikipedia, the free encyclopedia. 

Richard Henry Sellers, CBE (8 September 1925 – 24 July 1980), known as Peter Sellers, was a British comedian and actor best known as Chief Inspector Clouseau in The Pink Panther film series, for playing three different characters in Dr.  Strangelove, as Clare Quilty in Lolita, and as the man-child and TV-addicted Chance the gardener in his penultimate film, Being There.  Leading actress Bette Davis once remarked of him, \""He isn't an actor—he's a chameleon...""","""1980-07-24""","""https://image.tmdb.org/t/p/w440_and_h660_face/rZqV15C4Y5Avq3IkHfrPHQZRdl5.jpg""","""https://themoviedb.org/person/12446"""
"""Seattle, Washington""","""16002""","""1920-03-24""","""Gene Nelson""","""From Wikipedia, the free encyclopedia. 

Gene Nelson was an American dancer, actor, screenwriter, and director.  Born Leander Eugene Berg in Astoria, Oregon, he moved to Seattle when he was a year old.  He was inspired to become a dancer by watching Fred Astaire when he was a child.  After serving in the Army during World War II during which he also performed in the musical This Is the Army, Nelson landed his first Broadway role in Lend an Ear, for which he received the Theatre World Award...""","""1996-09-16""","""https://image.tmdb.org/t/p/w440_and_h660_face/1pAFmgqAvSY1MsT7TvZPiqTnuLd.jpg""","""https://themoviedb.org/person/16002"""
"""New York City, New York, USA""","""7301""","""1932-04-04""","""Anthony Perkins""","""Anthony Perkins (April 4, 1932 – September 12, 1992) was an American actor and singer.  He is best known for his role as Norman Bates in Alfred Hitchcock's Psycho and his Oscar-nominated role in Friendly Persuasion (1956)...""","""1992-09-12""","""https://image.tmdb.org/t/p/w440_and_h660_face/lRwJZy8lTKEXpTOlHkyqIQpeyMJ.jpg""","""https://themoviedb.org/person/7301"""
"""Stratford, London, England, UK""","""31439""","""1926-07-22""","""Bryan Forbes""","""Bryan Forbes (22 July 1926 – 8 May 2013) was an English film director, screenwriter, film producer, actor and novelist...""","""2013-05-08""","""https://image.tmdb.org/t/p/w440_and_h660_face/kmRjRq6nxAN7UlISqyxvd67QCKd.jpg""","""https://themoviedb.org/person/31439"""
"""Silbodal, Värmlands län, Sweden""","""8741""","""1879-09-20""","""Victor Sjöström""","""Victor Sjöström (known in the United States also as Victor Seastrom) was a Swedish actor, screenwriter, and film director...""","""1960-01-03""","""https://image.tmdb.org/t/p/w440_and_h660_face/nkRxnYQtnSNdMH7Y8DaW1p1f4YL.jpg""","""https://themoviedb.org/person/8741"""
"""Beech Grove, IN""","""13565""","""1930-03-24""","""Steve McQueen""","""He was the ultra-cool male film star of the 1960s, and rose from a troubled youth spent in reform schools to being the world's most popular actor.  Over 25 years after his untimely death from mesothelioma in 1980, Steve McQueen is still considered hip and cool, and he endures as an icon of popular culture...""","""1980-11-07""","""https://image.tmdb.org/t/p/w440_and_h660_face/xUxg7SAM17eEc0rF90gz59Ap0w1.jpg""","""https://themoviedb.org/person/13565"""
"""Shaker Heights, Ohio, USA""","""3636""","""1925-01-26""","""Paul Newman""","""Paul Leonard Newman (January 26, 1925 – September 26, 2008) was an American actor, film director, entrepreneur, humanitarian, professional racing driver, auto racing team owner, and auto racing enthusiast...""","""2008-09-26""","""https://image.tmdb.org/t/p/w440_and_h660_face/nIFChFSulCQO6jZvmi7YlBh1Eas.jpg""","""https://themoviedb.org/person/3636"""
"""Chappes, France""","""232669""","""1912-04-21""","""Marcel Camus""",null,"""1982-01-13""","""https://image.tmdb.org/t/p/w440_and_h660_face/lErZmR4arJzF9QBVGWrdIPg64zl.jpg""","""https://themoviedb.org/person/232669"""
"""New York City, New York, USA""","""30647""","""1924-02-17""","""Mel Welles""","""From Wikipedia, the free encyclopedia

Mel Welles (February 17, 1924 - August 18, 2005) was an American film actor.  His best-remembered role may be that of hapless flower shop owner Gravis Mushnik in the 1960 low-budget Roger Corman dark comedy, The Little Shop of Horrors (which featured Jack Nicholson as a masochistic dental patient). 

Not much is known of Welles' early life, except that he was born Ira Meltcher in New York City.  He graduated from Mt.  Carmel High School, in 1940...""","""2005-08-19""","""https://image.tmdb.org/t/p/w440_and_h660_face/4hKznYBbTIy78NtOJK0LNaq4UxO.jpg""","""https://themoviedb.org/person/30647"""
"""Cambridge, Cambridgeshire, England, UK""","""4786""","""1923-08-29""","""Richard Attenborough""","""From Wikipedia, the free encyclopedia. 

Richard Samuel Attenborough, Baron Attenborough, Kt, CBE (29 August 1923 – 24 August 2014) was an English actor, filmmaker, entrepreneur, and politician.  He was the President of the Royal Academy of Dramatic Art (RADA) and the British Academy of Film and Television Arts (BAFTA).  Attenborough joined the Royal Air Force during World War II and served in the film unit...""","""2014-08-24""","""https://image.tmdb.org/t/p/w440_and_h660_face/bU0o3g5rbpzRkJ5bGowekGvfiHw.jpg""","""https://themoviedb.org/person/4786"""
""" Vienna, Austria""","""68""","""1890-12-05""","""Fritz Lang""","""Friedrich Christian Anton \""Fritz\"" Lang (December 5, 1890 – August 2, 1976) was an Austrian-American filmmaker, screenwriter, and occasional film producer and actor.  One of the best known émigrés from Germany's school of Expressionism, he was dubbed the \""Master of Darkness\"" by the British Film Institute...""","""1976-08-02""","""https://image.tmdb.org/t/p/w440_and_h660_face/aGfdQV0cOLdES9imtk2vaHZaY3T.jpg""","""https://themoviedb.org/person/68"""
"""Manhattan, New York, USA""","""514""","""1937-04-22""","""Jack Nicholson""","""John Joseph \""Jack\"" Nicholson (born April 22, 1937) is an American actor, film director, producer and writer.  He is renowned for his often dark-themed portrayals of neurotic characters.  Nicholson has been nominated for Academy Awards 12 times.  He has won the Academy Award for Best Actor twice, for One Flew Over the Cuckoo's Nest and for As Good as It Gets.  He won the Academy Award for Best Supporting Actor for the 1983 film Terms of Endearment...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/uZyV6vZ9Ubipw89woZzY7dBaEPz.jpg""","""https://themoviedb.org/person/514"""
"""South Kensington, London, England, UK""","""11857""","""1904-04-14""","""John Gielgud""","""Sir Arthur John Gielgud, OM, CH ( 14 April 1904 – 21 May 2000) was an English actor, director, and producer.  A descendant of the renowned Terry acting family, he achieved early international acclaim for his youthful, emotionally expressive Hamlet which broke box office records on Broadway in 1937.  He was known for his beautiful speaking of verse and particularly for his warm and expressive voice, which his colleague Sir Alec Guinness likened to \""a silver trumpet muffled in silk\""...""","""2000-05-21""","""https://image.tmdb.org/t/p/w440_and_h660_face/rSyG2ypOnMVOuGtDJMYt5VV1bMr.jpg""","""https://themoviedb.org/person/11857"""
"""Liverpool, England, UK""","""10592""","""1940-10-09""","""John Lennon""","""John Winston Ono Lennon, MBE (9 October 1940 – 8 December 1980) was an English musician and singer-songwriter who rose to worldwide fame as one of the founding members of The Beatles, one of the most commercially successful and critically acclaimed acts in the history of popular music.  Along with fellow Beatle Paul McCartney, he formed one of the most successful songwriting partnerships of the 20th century...""","""1980-12-08""","""https://image.tmdb.org/t/p/w440_and_h660_face/eoaFA3ekdmEhAtSZ3wb9gEm2TYh.jpg""","""https://themoviedb.org/person/10592"""
"""Liverpool, England, UK""","""10215""","""1942-06-18""","""Paul McCartney""","""Sir James Paul McCartney, MBE (born 18 June 1942) is an English musician, singer-songwriter and composer.  Formerly of The Beatles (1960–1970) and Wings (1971–1981), McCartney is the most commercially successful songwriter in the history of popular music, according to Guinness World Records. 

McCartney gained worldwide fame as a member of The Beatles, alongside John Lennon, George Harrison, and Ringo Starr...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/sCPsv9ueP5UR6BkMSmRDlwbra6S.jpg""","""https://themoviedb.org/person/10215"""
"""Liverpool, England, UK""","""10593""","""1943-02-25""","""George Harrison""","""George Harrison,  MBE (25 February 1943 – 29 November 2001) was an English rock guitarist, singer-songwriter, actor and film producer who achieved international fame as lead guitarist of The Beatles.   Often referred to as \""the quiet Beatle\"",  Harrison became over time an admirer of Indian mysticism, and introduced it to the other Beatles, as well as those of their Western audience...""","""2001-11-29""","""https://image.tmdb.org/t/p/w440_and_h660_face/zwUO2gnKBnSrKOB9hnhI9GdOX6e.jpg""","""https://themoviedb.org/person/10593"""
"""New York City, New York, U.S.""","""11147""","""1929-12-09""","""John Cassavetes""","""John Nicholas Cassavetes was a Greek-American actor, film director, and screenwriter.  Cassavetes was a pioneer of American independent film, writing and directing over a dozen movies, which he partially self-financed, and pioneered the use of improvisation and a realistic cinéma vérité style.  He also acted in many Hollywood films, notably Rosemary's Baby (1968) and The Dirty Dozen (1967).  He studied acting with Don Richardson, using an acting technique based on muscle memory...""","""1989-02-03""","""https://image.tmdb.org/t/p/w440_and_h660_face/4a3ON8y1EbjXLY1pWfAkFRgLqga.jpg""","""https://themoviedb.org/person/11147"""
"""Richmond, Virginia, U.S.""","""6449""","""1937-03-30""","""Warren Beatty""","""Warren Beatty is an American actor and filmmaker.  He has been nominated for fourteen Academy Awards – four for Best Actor, four for Best Picture, two for Best Director, three for Original Screenplay, and one for Adapted Screenplay – winning Best Director for Reds (1981)...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/4IDilrr21iRKv75QOwNKJPC3WgW.jpg""","""https://themoviedb.org/person/6449"""
"""San Francisco, California, USA""","""190""","""1930-05-31""","""Clint Eastwood""","""An American film actor, director, producer, composer and politician...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/muqCdaIVgLFtHb1FpwkH15bBXme.jpg""","""https://themoviedb.org/person/190"""
"""Hermosillo, Sonora, Mexico""","""94011""","""1916-11-15""","""Bill Melendez""","""José \""Bill\"" Cuauhtémoc Meléndez (November 15, 1916 – September 2, 2008) was a Mexican–American character animator, voice actor, film director and producer known for his cartoons for Walt Disney Productions (working on four Disney films Pinocchio, Fantasia, Dumbo and Bambi), Warner Bros.  Cartoons, UPA and the Peanuts series.  Melendez provided the voices of Snoopy and Woodstock in the latter as well...""","""2008-09-02""","""https://image.tmdb.org/t/p/w440_and_h660_face/kvIqx3FX1rPFAX9WkKkcTylC6d2.jpg""","""https://themoviedb.org/person/94011"""
"""Paris, France""","""20030""","""1941-07-13""","""Jacques Perrin""","""From Wikipedia, the free encyclopedia. 

Jacques Perrin (born Jacques André Simonet; 13 July 1941) is a French actor and filmmaker.  He is occasionally credited as Jacques Simonet.  Simonet was his father's name and Perrin his mother's. 

Description above from the Wikipedia article Jacques Perrin, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/5HRh3Ae5pbLB4sUgBz4Rzr9sSPJ.jpg""","""https://themoviedb.org/person/20030"""
