name,tmdbId,movieId,actor_role
"""Danny DeVito""","""518""","""21""","""Martin Weir"""
"""Gene Hackman""","""193""","""21""","""Harry Zimm"""
"""Rene Russo""","""14343""","""21""","""Karen Flores"""
"""John Travolta""","""8891""","""21""","""Chili Palmer"""
"""Sigourney Weaver""","""10205""","""22""","""Helen Hudson"""
"""Holly Hunter""","""18686""","""22""","""M.J. Monahan"""
"""Dermot Mulroney""","""20212""","""22""","""Ruben Goetz"""
"""William McNamara""","""18687""","""22""","""Peter Foley"""
"""Sylvester Stallone""","""16483""","""23""","""Robert Rath"""
"""Anatoli Davydov""","""58556""","""23""","""Nicolai Tashlinkov"""
"""Antonio Banderas""","""3131""","""23""","""Miguel Bain"""
"""Julianne Moore""","""1231""","""23""","""Electra"""
"""Mary Steenburgen""","""2453""","""24""","""Jessie Caldwell"""
"""Jeff Goldblum""","""4785""","""24""","""Donald Ripley"""
"""Lance Henriksen""","""2714""","""24""","""Sheriff Doug Barnum"""
"""Sean Patrick Flanery""","""54789""","""24""","""Jeremy 'Powder' Reed"""
"""Nicolas Cage""","""2963""","""25""","""Ben Sanderson"""
"""Elisabeth Shue""","""1951""","""25""","""Sera"""
"""Julian Sands""","""6104""","""25""","""Yuri"""
"""Richard Lewis""","""6105""","""25""","""Peter"""
"""Irène Jacob""","""1350""","""26""","""Desdemona"""
"""Laurence Fishburne""","""2975""","""26""","""Othello"""
"""Kenneth Branagh""","""11181""","""26""","""Iago"""
"""Nathaniel Parker""","""27631""","""26""","""Cassio"""
"""Melanie Griffith""","""29369""","""27""","""Tina 'Teeny' Tercell"""
"""Thora Birch""","""2155""","""27""","""Teeny"""
"""Rosie O'Donnell""","""12929""","""27""","""Dr. Roberta Martin"""
"""Christina Ricci""","""6886""","""27""","""Young Roberta Martin"""
"""Amanda Root""","""30318""","""28""","""Anne Elliott"""
"""Susan Fleetwood""","""87415""","""28""","""Lady Russell"""
"""Ciarán Hinds""","""8785""","""28""","""Captain Frederick Wentworth"""
"""Corin Redgrave""","""13328""","""28""","""Sir Walter Eliot"""
"""Ron Perlman""","""2372""","""29""","""One"""
"""Judith Vittet""","""13842""","""29""","""Miette"""
"""Daniel Emilfork""","""13843""","""29""","""Krank"""
"""Dominique Pinon""","""2413""","""29""","""Le Scaphandrier / Les Clones"""
"""Gong Li""","""643""","""30""","""Bijou (Xiao Jinbao)"""
"""Li Baotian""","""146097""","""30""","""Boss Tang Laoda"""
"""Wang Xiaoxiao""","""150151""","""30""","""Shuisheng"""
"""Xuejian Li""","""143358""","""30""",null
"""Michelle Pfeiffer""","""1160""","""31""","""Louanne Johnson"""
"""Robin Bartlett""","""11902""","""31""","""Carla Nichols"""
"""George Dzundza""","""10477""","""31""","""Hal Griffith"""
"""Courtney B. Vance""","""24047""","""31""","""George Grandey"""
"""Bruce Willis""","""62""","""32""","""James Cole"""
"""Jon Seda""","""288""","""32""","""Jose"""
"""Michael Chance""","""1077231""","""32""","""Scarface"""
"""Joseph Melito""","""975569""","""32""","""Young Cole"""
"""Hugo Weaving""","""1331""","""34""","""Rex the Male Sheepdog (voice)"""
"""Christine Cavanaugh""","""58136""","""34""","""Babe the Gallant Pig (voice)"""
"""Danny Mann""","""52699""","""34""","""Ferdinand the Duck (voice)"""
"""Miriam Margolyes""","""6199""","""34""","""Fly the Female Sheepdog (voice)"""
"""Steven Waddington""","""27764""","""35""","""Ralph Partridge"""
"""Emma Thompson""","""7056""","""35""","""Dora Carrington"""
"""Samuel West""","""54447""","""35""","""Gerald Brenan"""
"""Jonathan Pryce""","""378""","""35""","""Lytton Strachey"""
"""Susan Sarandon""","""4038""","""36""","""Sister Helen Prejean"""
"""Raymond J. Barry""","""10361""","""36""","""Earl Delacroix"""
"""Robert Prosky""","""10360""","""36""","""Hilton Barber"""
"""Sean Penn""","""2228""","""36""","""Matthew Poncelet"""
"""Victor Steinbach""","""6171""","""37""","""Seaman--Pilot"""
"""Peter Reznick""","""1467084""","""37""","""Tomas Minton"""
"""John McDonough""","""1467085""","""37""","""Freighter Chief"""
"""Avi Hoffman""","""1467086""","""37""","""Seaman"""
"""Kirstie Alley""","""1796""","""38""","""Diane Barrows"""
"""Steve Guttenberg""","""26472""","""38""","""Roger Callaway"""
"""Mary-Kate Olsen""","""67849""","""38""","""Amanda Lemmon / Alyssa Callaway"""
"""Ashley Olsen""","""67848""","""38""","""Alyssa Callaway / Amanda Lemmon"""
"""Alicia Silverstone""","""5588""","""39""","""Cher Horowitz"""
"""Paul Rudd""","""22226""","""39""","""Josh Lucas"""
"""Brittany Murphy""","""328""","""39""","""Tai Frasier"""
"""Stacey Dash""","""58150""","""39""","""Dionne Davenport"""
"""James Earl Jones""","""15152""","""40""","""Rev. Stephen Kumalo"""
"""Vusi Kunene""","""65887""","""40""",null
"""Richard Harris""","""194""","""40""","""James Jarvis"""
"""Charles S. Dutton""","""17764""","""40""","""John Kumalo"""
"""Ian McKellen""","""1327""","""41""","""Richard III"""
"""Jim Broadbent""","""388""","""41""","""The Duke of Buckingham"""
"""Annette Bening""","""516""","""41""","""Queen Elizabeth"""
"""Robert Downey Jr.""","""3223""","""41""","""Earl Rivers"""
"""Larenz Tate""","""18291""","""42""","""Anthony Curtis"""
"""Freddy Rodríguez""","""6862""","""42""","""Jose"""
"""Chris Tucker""","""66""","""42""","""Skip"""
"""Keith David""","""65827""","""42""","""Kirby"""
"""Sam Neill""","""4783""","""43""","""King Charles II"""
"""David Thewlis""","""11207""","""43""","""John Pearce"""
"""Robert Downey Jr.""","""3223""","""43""","""Robert Merivel"""
"""Polly Walker""","""6416""","""43""","""Celia Clemence"""
"""Christopher Lambert""","""38559""","""44""","""Lord Rayden"""
"""Linden Ashby""","""57251""","""44""","""Johnny Cage"""
"""Robin Shou""","""57250""","""44""","""Liu Kang"""
"""Cary-Hiroyuki Tagawa""","""11398""","""44""","""Shang Tsung"""
"""Joaquin Phoenix""","""73421""","""45""","""Jimmy Emmett"""
"""Matt Dillon""","""2876""","""45""","""Larry Maretto"""
"""Casey Affleck""","""1893""","""45""","""Russel Hines"""
"""Nicole Kidman""","""2227""","""45""","""Suzanne Stone"""
"""Anne Bancroft""","""10774""","""46""","""Glady Joe Cleary"""
"""Winona Ryder""","""1920""","""46""","""Finn Dodd"""
"""Adam Baldwin""","""2059""","""46""","""Finn's Father"""
"""Kate Capshaw""","""689""","""46""","""Sally"""
"""Morgan Freeman""","""192""","""47""","""Detective Lt. William Somerset"""
"""Brad Pitt""","""287""","""47""","""Detective David Mills"""
"""Andrew Kevin Walker""","""12047""","""47""","""Dead Man"""
"""Daniel Zacapa""","""12054""","""47""","""Detective Taylor"""
"""Mel Gibson""","""2461""","""48""","""John Smith (voice)"""
"""Irene Bedard""","""65529""","""48""","""Pocahontas (voice)"""
"""David Ogden Stiers""","""28010""","""48""","""Governor Ratcliffe (voice)"""
"""Judy Kuhn""","""110316""","""48""","""Pocahontas (singing voice)"""
"""Henry Czerny""","""15319""","""49""","""Martin"""
"""Rachael Crawford""","""54819""","""49""","""Petra"""
"""David Fox""","""4569""","""49""",null
"""Pascale Bussières""","""54818""","""49""","""Camille Baker"""
"""Gabriel Byrne""","""5168""","""50""","""Dean Keaton"""
"""Stephen Baldwin""","""9045""","""50""","""Michael McManus"""
"""Benicio Del Toro""","""1121""","""50""",null
"""Kevin Pollak""","""7166""","""50""","""Todd Hockney"""
"""Woody Allen""","""1243""","""52""","""Lenny"""
"""Mira Sorvino""","""23931""","""52""","""Linda Ash"""
"""Rene Ceballos""","""1661612""","""52""",null
"""George De La Pena""","""23893""","""52""",null
"""Enrico Lo Verso""","""27392""","""53""","""Gino"""
"""Carmelo Di Mazzarelli""","""1180060""","""53""","""Spiro"""
"""Piro Milkani""","""1149435""","""53""","""Selimi"""
"""Michele Placido""","""25819""","""53""","""Fiore"""
"""Olivia d'Abo""","""46423""","""54""","""Miss Anna Mongomery"""
"""Jay O. Sanders""","""6067""","""54""","""Coach Jay Huffer"""
"""Steve Guttenberg""","""26472""","""54""","""Sheriff Tom Palmer"""
"""John Terry""","""8659""","""54""","""Edwin V. Douglas"""
"""Jennifer Jason Leigh""","""10431""","""55""","""Sadie Flood"""
"""Max Perlich""","""7268""","""55""","""Axel Goldman"""
"""Mare Winningham""","""51544""","""55""","""Georgia Flood"""
"""Ted Levine""","""15854""","""55""","""Jake"""
"""Holly Hunter""","""18686""","""57""","""Claudia Larson"""
"""Charles Durning""","""1466""","""57""","""Henry Larson"""
"""Robert Downey Jr.""","""3223""","""57""","""Tommy Larson"""
"""Anne Bancroft""","""10774""","""57""","""Adele Larson"""
"""Philippe Noiret""","""24366""","""58""","""Pablo Neruda"""
"""Renato Scarpa""","""14149""","""58""","""Telegrapher"""
"""Maria Grazia Cucinotta""","""10777""","""58""","""Beatrice Russo"""
"""Massimo Troisi""","""67792""","""58""","""Mario Ruoppolo"""
"""Patrick Goyette""","""1019878""","""59""","""Marc Lamontagne"""
"""Jean-Louis Millette""","""1019879""","""59""","""Raymond Massicotte"""
"""Kristin Scott Thomas""","""5470""","""59""","""Assistant to Hitchcock"""
"""Lothaire Bluteau""","""38524""","""59""","""Pierre Lamontagne"""
"""Hal Scardino""","""69301""","""60""","""Omri"""
"""Litefoot""","""69302""","""60""","""Little Bear"""
"""Lindsay Crouse""","""32225""","""60""","""Jane"""
"""Richard Jenkins""","""28633""","""60""","""Victor"""
"""Sally Field""","""35""","""61""","""Karen McCann"""
"""Ed Harris""","""228""","""61""","""Mack McCann"""
"""Olivia Burnette""","""27261""","""61""","""Julie McCann"""
"""Alexandra Kyle""","""157108""","""61""","""Megan McCann"""
"""Jay Thomas""","""21105""","""62""","""Bill Meister"""
"""Glenne Headly""","""21104""","""62""","""Iris Holland"""
"""Olympia Dukakis""","""3019""","""62""","""Principal Helen Jacobi"""
"""Richard Dreyfuss""","""3037""","""62""","""Glenn Holland"""
"""Chris Spencer""","""27590""","""63""","""Preach"""
"""Tracey Cherelle Jones""","""66131""","""63""","""Dashiki"""
"""Marlon Wayans""","""9562""","""63""","""Loc Dog"""
"""Shawn Wayans""","""35690""","""63""","""Ashtray"""
"""Denis Leary""","""5724""","""64""","""Francis 'Frank' O'Brien"""
"""Sandra Bullock""","""18277""","""64""","""Roz"""
"""Stephen Dillane""","""8435""","""64""","""Evan Marsh"""
"""Yaphet Kotto""","""5050""","""64""","""FBI Agent O'Malley"""
"""William Atherton""","""7676""","""65""","""Dr. Noah Faulkner"""
"""Denise Dowse""","""23970""","""65""","""Olivia Biggs"""
"""Dara Tomanovich""","""57868""","""65""","""Mimi Simkins"""
"""Kevin West""","""57869""","""65""","""T.C. Romulus"""
"""Patrick Bergin""","""29459""","""66""","""Dr. Benjamin Trace"""
"""Matt Frewer""","""40009""","""66""","""Jobe Smith"""
"""Ely Pouget""","""36898""","""66""","""Dr. Cori Platt"""
"""Austin O'Brien""","""58119""","""66""","""Peter Parkette"""
"""Ticky Holgado""","""13689""","""68""","""Antoine"""
"""Alain Chabat""","""4275""","""68""","""Laurent Lafaye"""
"""Josiane Balasko""","""35137""","""68""","""Marijo"""
"""Victoria Abril""","""25256""","""68""","""Loli"""
"""Tommy 'Tiny' Lister""","""8396""","""69""",null
"""Nia Long""","""9781""","""69""","""Debbie"""
"""Chris Tucker""","""66""","""69""","""Smokey"""
"""Ice Cube""","""9778""","""69""","""Craig Jones"""
"""George Clooney""","""1461""","""70""","""Seth Gecko"""
"""Quentin Tarantino""","""138""","""70""","""Richard Gecko"""
"""Harvey Keitel""","""1037""","""70""","""Jacob Fuller"""
"""Juliette Lewis""","""3196""","""70""","""Kate Fuller"""
"""William Baldwin""","""13021""","""71""","""Max Kirkpatrick"""
"""Christopher McDonald""","""4443""","""71""","""Lieutenant Meyerson"""
"""Steven Berkoff""","""782""","""71""","""Colonel Ilya Kazak"""
"""Cindy Crawford""","""33665""","""71""","""Kate McQueen"""
"""Josh Hamilton""","""52419""","""72""","""Grover"""
"""Jonathan Baumbach""","""1052883""","""72""","""Professor"""
"""Samuel Gould""","""21967""","""72""","""Pete"""
"""Catherine Kellner""","""10130""","""72""","""Gail"""
"""Jean-Paul Belmondo""","""3829""","""73""","""Henri Fortin / Jean Valjean"""
"""Michel Boujenah""","""35211""","""73""","""André Ziman"""
"""Alessandra Martines""","""63895""","""73""","""Elise Ziman"""
"""Salomé Lelouch""","""141054""","""73""","""La fille Ziman"""
"""Christian Slater""","""2224""","""74""","""Lewis Farrell"""
"""Mary Stuart Masterson""","""31140""","""74""","""Lisa Walker"""
"""Josh Brolin""","""16851""","""74""","""Danny"""
"""Pamela Adlon""","""21063""","""74""","""Kim / Pamela Segall"""
"""Peter Weller""","""27811""","""76""","""Colonel Hendricksson"""
"""Andrew Lauer""","""56979""","""76""","""Ace Jefferson"""
"""Jennifer Rubin""","""56978""","""76""","""Jessica"""
"""Roy Dupuis""","""56977""","""76""","""Becker"""
"""Christian Aaron Boulogne""","""582020""","""77""","""Himself"""
"""Christian Päffgen""","""2362269""","""77""",null
"""Tina Aumont""","""109142""","""77""","""Herself"""
"""Nico""","""938895""","""77""","""Herself"""
"""Jack Nicholson""","""514""","""78""","""Freddy Gale"""
"""Anjelica Huston""","""5657""","""78""","""Mary"""
"""David Morse""","""52""","""78""","""John Booth"""
"""Robin Wright""","""32""","""78""","""Jojo"""
"""Alec Baldwin""","""7447""","""79""","""Teacher"""
"""Demi Moore""","""3416""","""79""","""Annie Laird"""
"""Anne Heche""","""8256""","""79""","""Juliet"""
"""Joseph Gordon-Levitt""","""24045""","""79""","""Oliver Laird"""
"""Anna Borkowska""","""1387299""","""80""","""Old Lady"""
"""Aida Mohammadkhani""","""1034640""","""80""","""Razieh"""
"""Mohsen Kafili""","""1034642""","""80""","""Ali"""
"""Fereshteh Sadre Orafaiy""","""1034643""","""80""","""Mother"""
"""Andy Garcia""","""1271""","""81""",null
"""Bill Nunn""","""5502""","""81""","""Easy Wind"""
"""Christopher Lloyd""","""1062""","""81""","""Pieces"""
"""William Forsythe""","""4520""","""81""","""Franchise"""
"""Veerle van Overloop""","""13509""","""82""","""Thérèse"""
"""Els Dottermans""","""13507""","""82""","""Danielle"""
"""Dora van der Groen""","""13508""","""82""","""Allegonde"""
"""Willeke van Ammelrooy""","""13506""","""82""","""Antonia"""
"""Al Freeman Jr.""","""19739""","""83""",null
"""Leon""","""12974""","""83""","""Uncle Melvin"""
"""Phylicia Rashad""","""119598""","""83""",null
"""Paula Kelly""","""157439""","""83""","""Ma Pearl"""
"""Victoria Foyt""","""990400""","""84""","""Oona Hart"""
"""Jon Robin Baitz""","""69697""","""84""","""Jake Axelrod"""
"""Viveca Lindfors""","""22137""","""84""","""Helena Mora"""
"""Savannah Smith Boucher""","""175081""","""84""","""Suzanne"""
"""Patsy Kensit""","""14326""","""85""","""Eugenia Alabaster Adamson"""
"""Kristin Scott Thomas""","""5470""","""85""","""Matty Crompton"""
"""Mark Rylance""","""40900""","""85""","""William Adamson"""
"""Jeremy Kemp""","""55037""","""85""","""Sir Harald Alabaster"""
"""Jeff Bridges""","""1229""","""86""","""Christopher \""Skipper\"" Sheldon"""
"""Scott Wolf""","""24965""","""86""","""Chuck Gieg"""
"""John Savage""","""47879""","""86""","""McCrea"""
"""Caroline Goodall""","""6692""","""86""","""Alice Sheldon"""
"""Jason Alexander""","""1206""","""87""","""Robert Grant"""
"""Faye Dunaway""","""6450""","""87""","""Mrs. Dubrow"""
"""Rupert Everett""","""4757""","""87""","""Lord Rutledge"""
"""Eric Lloyd""","""27564""","""87""","""Kyle Grant"""
"""Chris Farley""","""58198""","""88""","""Mike Donnelly"""
"""Christine Ebersole""","""4003""","""88""","""Governor Tracy"""
"""Tim Matheson""","""21561""","""88""","""Al Donnelly"""
"""David Spade""","""60950""","""88""","""Steve Dodds"""
"""Christopher Walken""","""4690""","""89""","""Mr. Smith"""
"""Courtney Chase""","""21365""","""89""","""Lynn Watson"""
"""Charles S. Dutton""","""17764""","""89""","""Hucy"""
"""Johnny Depp""","""85""","""89""","""Gene Watson"""
"""Julia Roberts""","""1204""","""92""","""Mary Reilly"""
"""George Cole""","""47722""","""92""","""Mr. Poole"""
"""Michael Gambon""","""5658""","""92""","""Mary’s Father"""
"""John Malkovich""","""6949""","""92""","""Dr. Henry Jekyll / Edward Hyde"""
"""Eddie Murphy""","""776""","""93""","""Maximillian | Pauly | Guido"""
"""Kadeem Hardison""","""66554""","""93""","""Julius Jones"""
"""Angela Bassett""","""9780""","""93""","""Detective Rita Veder"""
"""Allen Payne""","""32486""","""93""","""Detective Justice"""
"""Annabeth Gish""","""49425""","""94""","""Tracy Stover"""
"""Matt Dillon""","""2876""","""94""","""Tommy \""Birdman\"" Rowland"""
"""Lauren Holly""","""34485""","""94""","""Darian Smalls"""
"""Noah Emmerich""","""11315""","""94""","""Michael \""Mo\"" Morris"""
"""John Travolta""","""8891""","""95""","""Maj. Vic 'Deak' Deakins"""
"""Christian Slater""","""2224""","""95""","""Capt. Riley Hale"""
"""Samantha Mathis""","""20767""","""95""","""Terry Carmichael"""
"""Delroy Lindo""","""18792""","""95""","""Colonel Max Wilkins"""
"""Nicholas Farrell""","""32357""","""96""","""Tom Newman"""
"""Richard Briers""","""29859""","""96""","""Henry"""
"""Joan Collins""","""13637""","""96""","""Margaretta"""
"""Hetta Charnley""","""237613""","""96""","""Molly"""
"""Vincent Cassel""","""1925""","""97""","""Vinz"""
"""Abdel Ahmed Ghili""","""5420""","""97""","""Abdel"""
"""Saïd Taghmaoui""","""5419""","""97""","""Saïd"""
"""Hubert Koundé""","""5418""","""97""","""Hubert"""
"""Fraser James""","""30087""","""98""","""Be Bop"""
"""Sean Pertwee""","""28848""","""98""","""Tommy"""
"""Jude Law""","""9642""","""98""","""Billy"""
"""Sadie Frost""","""41381""","""98""","""Jo"""
"""Heidi Fleiss""","""92032""","""99""","""Herself"""
"""Nick Broomfield""","""92561""","""99""","""Narrator"""
"""Corinne Bohrer""","""74954""","""99""","""Actor/Herself"""
"""Madam Alex""","""1144665""","""99""","""Herself"""
"""Al Pacino""","""1158""","""100""","""Mayor John Pappas"""
"""John Cusack""","""3036""","""100""","""Deputy Mayor Kevin Calhoun"""
"""Bridget Fonda""","""2233""","""100""","""Marybeth Cogan"""
"""Danny Aiello""","""1004""","""100""","""Frank Anselmo"""
"""Owen Wilson""","""887""","""101""","""Dignan"""
"""Luke Wilson""","""36422""","""101""","""Anthony Adams"""
"""Ned Dowd""","""42006""","""101""","""Dr. Nichols"""
"""Shea Fowler""","""1117323""","""101""","""Grace"""
"""Dean Stockwell""","""923""","""102""","""Jack Tramonte"""
"""Joan Cusack""","""3234""","""102""","""Inga Gunther"""
"""Bill Pullman""","""8984""","""102""","""Whitman Crawford"""
"""Ellen DeGeneres""","""14""","""102""","""Martha Alston"""
"""Ray Liotta""","""11477""","""103""","""Dr. David Krane"""
"""Linda Fiorentino""","""9625""","""103""","""Dr. Martha Briggs"""
"""Peter Coyote""","""9979""","""103""","""Don Bresler"""
"""Christopher McDonald""","""4443""","""103""","""Stewart Gleick"""
"""Adam Sandler""","""19292""","""104""","""Happy Gilmore"""
"""Christopher McDonald""","""4443""","""104""","""Shooter McGavin"""
"""Frances Bay""","""11794""","""104""","""Grandma Gilmore"""
"""Julie Bowen""","""31171""","""104""","""Virginia Venit"""
"""Clint Eastwood""","""190""","""105""","""Robert Kincaid"""
"""Meryl Streep""","""5064""","""105""","""Francesca Johnson"""
"""Annie Corley""","""6907""","""105""","""Caroline Johnson"""
"""Victor Slezak""","""10379""","""105""","""Michael Johnson"""
"""Tim Curry""","""13472""","""107""","""Long John Silver"""
"""Billy Connolly""","""9188""","""107""","""Billy Bones"""
"""Jennifer Saunders""","""12094""","""107""","""Mrs. Bluveridge"""
"""Kevin Bishop""","""19996""","""107""","""Jim Hawkins"""
"""Christy Turlington""","""937034""","""108""","""Herself"""
"""Giorgio Armani""","""103057""","""108""","""Himself"""
"""Azzedine Alaïa""","""937035""","""108""","""Himself"""
"""Nadja Auermann""","""50841""","""108""","""Herself"""
"""James Robinson""","""2465""","""110""","""Young William Wallace"""
"""Sandy Nelson""","""2473""","""110""","""John Wallace"""
"""Sean Lawlor""","""2472""","""110""","""Malcolm Wallace"""
"""James Cosmo""","""2467""","""110""","""Campbell"""
"""Diahnne Abbott""","""1041""","""111""","""Concession Girl"""
"""Gino Ardito""","""1043""","""111""","""Policeman at rally"""
"""Frank Adu""","""1042""","""111""","""Angry Black Man"""
"""Victor Argo""","""2561""","""111""","""Melio, Delicatessen Owner"""
"""Bill Tung""","""44922""","""112""","""Uncle Bill"""
"""Anita Mui""","""44917""","""112""","""Elaine"""
"""Françoise Yip""","""10875""","""112""","""Nancy"""
"""Jackie Chan""","""18897""","""112""","""Keung"""
"""Meryl Streep""","""5064""","""113""","""Dr. Carolyn Ryan"""
"""Julia Weldon""","""121955""","""113""","""Judith Ryan"""
"""Edward Furlong""","""820""","""113""","""Jacob Ryan"""
"""Liam Neeson""","""3896""","""113""","""Ben Ryan"""
"""Helena Bonham Carter""","""1283""","""114""","""Margaret MacNeil"""
"""Craig Anthony Olejnik""","""198287""","""114""",null
"""Clive Russell""","""19901""","""114""","""Neil Currie"""
"""Kate Nelligan""","""18794""","""114""","""Catherine MacNeil"""
"""Kenneth Branagh""","""11181""","""116""","""Narration (voice)"""
"""Glenn Close""","""515""","""116""","""Diary Readings (voice)"""
"""Janny Brandes-Brilslijper""","""1420227""","""116""",null
"""Tobias Arnold""","""81023""","""117""","""Young Graham"""
"""Roger Lloyd Pack""","""81024""","""117""","""Fred"""
"""Ruth Sheen""","""53367""","""117""","""Molly"""
"""Hugh O'Conor""","""5312""","""117""","""Graham Young"""
"""Ben Stiller""","""7399""","""118""","""Bwick Elias"""
"""Sarah Jessica Parker""","""520""","""118""","""Lucy Ackerman"""
"""Eric Schaeffer""","""68185""","""118""","""Joe MacGonaughgill"""
"""Elle Macpherson""","""5590""","""118""","""Jane Lindquist"""
"""Andy Garcia""","""1271""","""119""",null
"""Rachel Ticotin""","""10768""","""119""","""Laura"""
"""Alan Arkin""","""1903""","""119""","""Lou Perilli"""
"""Joe Pantoliano""","""532""","""119""","""Eddie Agopian"""
"""Philip Dinn""","""946161""","""121""","""Mike Finn"""
"""Brian Dooley""","""1195879""","""121""","""Detective Noseworthy"""
"""Johnny Morina""","""198643""","""121""","""Kevin Reevey"""
"""Henry Czerny""","""15319""","""121""","""Brother Peter Lavin"""
"""Eddie Murphy""","""776""","""122""","""Marcus Graham"""
"""Halle Berry""","""4587""","""122""","""Angela Lewis"""
