name,tmdbId,movieId
"""Steve McQueen""","""13565""","""105844"""
"""Paul Newman""","""3636""","""3069"""
"""Paul Newman""","""3636""","""57418"""
"""Marcel Camus""","""232669""","""7088"""
"""Mel Welles""","""30647""","""2747"""
"""Richard Attenborough""","""4786""","""6345"""
"""Richard Attenborough""","""4786""","""534"""
"""Richard Attenborough""","""4786""","""1398"""
"""Richard Attenborough""","""4786""","""7980"""
"""Richard Attenborough""","""4786""","""4095"""
"""Richard Attenborough""","""4786""","""1293"""
"""Richard Attenborough""","""4786""","""44911"""
"""Fritz Lang""","""68""","""3377"""
"""Fritz Lang""","""68""","""25911"""
"""Fritz Lang""","""68""","""7571"""
"""Fritz Lang""","""68""","""4768"""
"""Fritz Lang""","""68""","""8236"""
"""Fritz Lang""","""68""","""25972"""
"""Fritz Lang""","""68""","""5017"""
"""Fritz Lang""","""68""","""5169"""
"""Fritz Lang""","""68""","""2010"""
"""Fritz Lang""","""68""","""1260"""
"""Fritz Lang""","""68""","""6515"""
"""Fritz Lang""","""68""","""25825"""
"""Fritz Lang""","""68""","""25904"""
"""Fritz Lang""","""68""","""8670"""
"""Jack Nicholson""","""514""","""8903"""
"""Jack Nicholson""","""514""","""3141"""
"""John Gielgud""","""11857""","""2820"""
"""John Lennon""","""10592""","""4515"""
"""John Lennon""","""10592""","""51044"""
"""Paul McCartney""","""10215""","""51044"""
"""George Harrison""","""10593""","""51044"""
"""John Cassavetes""","""11147""","""7071"""
"""John Cassavetes""","""11147""","""702"""
"""John Cassavetes""","""11147""","""5179"""
"""John Cassavetes""","""11147""","""7126"""
"""Warren Beatty""","""6449""","""1883"""
"""Warren Beatty""","""6449""","""2616"""
"""Warren Beatty""","""6449""","""2929"""
"""Warren Beatty""","""6449""","""2779"""
"""Clint Eastwood""","""190""","""63062"""
"""Clint Eastwood""","""190""","""1711"""
"""Clint Eastwood""","""190""","""3508"""
"""Clint Eastwood""","""190""","""3827"""
"""Clint Eastwood""","""190""","""105"""
"""Clint Eastwood""","""190""","""114662"""
"""Clint Eastwood""","""190""","""64614"""
"""Clint Eastwood""","""190""","""6078"""
"""Clint Eastwood""","""190""","""6084"""
"""Clint Eastwood""","""190""","""2401"""
"""Clint Eastwood""","""190""","""6870"""
"""Clint Eastwood""","""190""","""4957"""
"""Clint Eastwood""","""190""","""2561"""
"""Clint Eastwood""","""190""","""4803"""
"""Clint Eastwood""","""190""","""1459"""
"""Clint Eastwood""","""190""","""50068"""
"""Clint Eastwood""","""190""","""507"""
"""Clint Eastwood""","""190""","""72733"""
"""Clint Eastwood""","""190""","""6812"""
"""Clint Eastwood""","""190""","""5506"""
"""Clint Eastwood""","""190""","""30707"""
"""Clint Eastwood""","""190""","""81512"""
"""Clint Eastwood""","""190""","""1266"""
"""Clint Eastwood""","""190""","""4479"""
"""Clint Eastwood""","""190""","""2476"""
"""Clint Eastwood""","""190""","""3834"""
"""Clint Eastwood""","""190""","""4947"""
"""Clint Eastwood""","""190""","""48783"""
"""Clint Eastwood""","""190""","""2921"""
"""Clint Eastwood""","""190""","""90719"""
"""Bill Melendez""","""94011""","""48061"""
"""Bill Melendez""","""94011""","""60487"""
"""Bill Melendez""","""94011""","""7790"""
"""Bill Melendez""","""94011""","""26133"""
"""Jacques Perrin""","""20030""","""76054"""
"""Jacques Perrin""","""20030""","""6299"""
"""Sam Wanamaker""","""21520""","""3807"""
"""Gene Saks""","""69300""","""5354"""
"""Gene Saks""","""69300""","""2736"""
"""Gene Saks""","""69300""","""2870"""
"""Gene Saks""","""69300""","""3507"""
"""Bruce Brown""","""86""","""443"""
"""Bruce Brown""","""86""","""2984"""
"""Bruce Brown""","""86""","""3653"""
"""Harold P. Warren""","""88571""","""26157"""
"""Carl Reiner""","""1895""","""1463"""
"""Carl Reiner""","""1895""","""2111"""
"""Carl Reiner""","""1895""","""4293"""
"""Carl Reiner""","""1895""","""8610"""
"""Carl Reiner""","""1895""","""445"""
"""Carl Reiner""","""1895""","""5214"""
"""Carl Reiner""","""1895""","""2109"""
"""Carl Reiner""","""1895""","""2110"""
"""Carl Reiner""","""1895""","""7026"""
"""Robert Redford""","""4135""","""3100"""
"""Robert Redford""","""4135""","""300"""
"""Robert Redford""","""4135""","""1727"""
"""Robert Redford""","""4135""","""88950"""
"""Robert Redford""","""4135""","""4523"""
"""Robert Redford""","""4135""","""99741"""
"""Robert Redford""","""4135""","""3978"""
"""Robert Redford""","""4135""","""55946"""
"""Robert Redford""","""4135""","""1956"""
"""Jim Brown""","""4774""","""64990"""
"""Dustin Hoffman""","""4483""","""99220"""
"""Vilgot Sjöman""","""133471""","""6257"""
"""Dennis Hopper""","""2778""","""564"""
"""Dennis Hopper""","""2778""","""3168"""
"""Dennis Hopper""","""2778""","""4488"""
"""Dennis Hopper""","""2778""","""3765"""
"""Lionel Jeffries""","""30706""","""6427"""
"""Barbra Streisand""","""10400""","""3528"""
"""Barbra Streisand""","""10400""","""1353"""
"""Barbra Streisand""","""10400""","""5012"""
"""Gene Wilder""","""3460""","""6039"""
"""Gene Wilder""","""3460""","""2786"""
"""Burt Reynolds""","""16475""","""4201"""
"""Burt Reynolds""","""16475""","""5854"""
"""François Truffaut""","""1650""","""7136"""
"""François Truffaut""","""1650""","""39941"""
"""François Truffaut""","""1650""","""31963"""
"""François Truffaut""","""1650""","""2731"""
"""François Truffaut""","""1650""","""4840"""
"""François Truffaut""","""1650""","""6305"""
"""François Truffaut""","""1650""","""7135"""
"""François Truffaut""","""1650""","""2732"""
"""François Truffaut""","""1650""","""6271"""
"""François Truffaut""","""1650""","""4712"""
"""François Truffaut""","""1650""","""26346"""
"""Richard Benjamin""","""24318""","""4526"""
"""Richard Benjamin""","""24318""","""4205"""
"""Richard Benjamin""","""24318""","""691"""
"""Richard Benjamin""","""24318""","""276"""
"""Richard Benjamin""","""24318""","""2375"""
"""Richard Benjamin""","""24318""","""4521"""
"""Richard Benjamin""","""24318""","""921"""
"""Richard Benjamin""","""24318""","""489"""
"""Richard Benjamin""","""24318""","""6814"""
"""Peter Bonerz""","""14987""","""2383"""
"""Woody Allen""","""1243""","""6993"""
"""Woody Allen""","""1243""","""4733"""
"""Woody Allen""","""1243""","""1057"""
"""Woody Allen""","""1243""","""2356"""
"""Woody Allen""","""1243""","""3814"""
"""Woody Allen""","""1243""","""7983"""
"""Woody Allen""","""1243""","""1077"""
"""Woody Allen""","""1243""","""3812"""
"""Woody Allen""","""1243""","""2290"""
"""Woody Allen""","""1243""","""2065"""
"""Woody Allen""","""1243""","""6100"""
"""Woody Allen""","""1243""","""95201"""
"""Woody Allen""","""1243""","""69604"""
"""Woody Allen""","""1243""","""1963"""
"""Woody Allen""","""1243""","""4392"""
"""Woody Allen""","""1243""","""4628"""
"""Woody Allen""","""1243""","""60950"""
"""Woody Allen""","""1243""","""52"""
"""Woody Allen""","""1243""","""113225"""
"""Woody Allen""","""1243""","""3813"""
"""Woody Allen""","""1243""","""103980"""
"""Woody Allen""","""1243""","""3129"""
"""Woody Allen""","""1243""","""80864"""
"""Woody Allen""","""1243""","""2750"""
"""Woody Allen""","""1243""","""5348"""
"""Woody Allen""","""1243""","""5339"""
"""Woody Allen""","""1243""","""4409"""
"""Woody Allen""","""1243""","""139415"""
"""Woody Allen""","""1243""","""492"""
"""Woody Allen""","""1243""","""41285"""
"""Woody Allen""","""1243""","""46967"""
"""Woody Allen""","""1243""","""32291"""
"""Woody Allen""","""1243""","""86882"""
"""Woody Allen""","""1243""","""1701"""
"""Woody Allen""","""1243""","""1078"""
"""Woody Allen""","""1243""","""1230"""
"""Woody Allen""","""1243""","""3618"""
"""Woody Allen""","""1243""","""1244"""
"""Woody Allen""","""1243""","""348"""
"""Woody Allen""","""1243""","""7934"""
"""Woody Allen""","""1243""","""2973"""
"""Woody Allen""","""1243""","""6584"""
"""Robert Duvall""","""3087""","""1694"""
"""John Cleese""","""8930""","""1079"""
"""Terry Gilliam""","""280""","""6807"""
"""Terry Gilliam""","""280""","""4467"""
"""Terry Gilliam""","""280""","""109187"""
"""Terry Gilliam""","""280""","""3108"""
"""Terry Gilliam""","""280""","""2968"""
"""Terry Gilliam""","""280""","""4911"""
"""Terry Gilliam""","""280""","""1199"""
"""Terry Gilliam""","""280""","""1136"""
"""Terry Gilliam""","""280""","""47465"""
"""Terry Gilliam""","""280""","""32"""
"""Terry Gilliam""","""280""","""36401"""
"""Terry Gilliam""","""280""","""1884"""
"""Terry Gilliam""","""280""","""69951"""
"""Tom Laughlin""","""129482""","""3957"""
"""Federico Fellini""","""4415""","""26574"""
"""Federico Fellini""","""4415""","""6415"""
"""Federico Fellini""","""4415""","""775"""
"""Federico Fellini""","""4415""","""2351"""
"""Federico Fellini""","""4415""","""8154"""
"""Federico Fellini""","""4415""","""1251"""
"""Federico Fellini""","""4415""","""129191"""
"""Federico Fellini""","""4415""","""6404"""
"""Federico Fellini""","""4415""","""7234"""
"""Federico Fellini""","""4415""","""7089"""
"""Federico Fellini""","""4415""","""4282"""
"""Federico Fellini""","""4415""","""8848"""
"""Federico Fellini""","""4415""","""7067"""
"""Federico Fellini""","""4415""","""2897"""
"""David Evans""","""130137""","""2962"""
"""Bruce Lee""","""19429""","""4441"""
"""Bruce Lee""","""19429""","""4444"""
"""Alejandro Jodorowsky""","""55119""","""4658"""
"""Alejandro Jodorowsky""","""55119""","""26258"""
"""Alejandro Jodorowsky""","""55119""","""26326"""
"""Alejandro Jodorowsky""","""55119""","""26164"""
"""Alfonso Arau""","""22767""","""265"""
"""Alfonso Arau""","""22767""","""207"""
"""Klaus Kinski""","""14277""","""1349"""
"""Paul Michael Glaser""","""12988""","""810"""
"""Paul Michael Glaser""","""12988""","""3442"""
"""Paul Michael Glaser""","""12988""","""3270"""
"""Paul Michael Glaser""","""12988""","""3698"""
"""Paul Michael Glaser""","""12988""","""414"""
"""Al Pacino""","""1158""","""1050"""
"""Richard Pryor""","""9309""","""5101"""
"""Diane Keaton""","""3092""","""205"""
"""Diane Keaton""","""3092""","""3299"""
"""Kevin Hooks""","""40230""","""145307"""
"""Kevin Hooks""","""40230""","""69654"""
"""Kevin Hooks""","""40230""","""7017"""
"""Kevin Hooks""","""40230""","""809"""
"""Ron Howard""","""6159""","""163949"""
"""Ron Howard""","""6159""","""64620"""
"""Ron Howard""","""6159""","""3259"""
"""Ron Howard""","""6159""","""6950"""
"""Ron Howard""","""6159""","""3526"""
"""Ron Howard""","""6159""","""150"""
"""Ron Howard""","""6159""","""104913"""
"""Ron Howard""","""6159""","""2100"""
"""Ron Howard""","""6159""","""2518"""
"""Ron Howard""","""6159""","""2567"""
"""Ron Howard""","""6159""","""68554"""
"""Ron Howard""","""6159""","""83910"""
"""Ron Howard""","""6159""","""2193"""
"""Ron Howard""","""6159""","""3107"""
"""Ron Howard""","""6159""","""33660"""
"""Ron Howard""","""6159""","""3988"""
"""Ron Howard""","""6159""","""2407"""
"""Ron Howard""","""6159""","""2374"""
"""Ron Howard""","""6159""","""371"""
"""Ron Howard""","""6159""","""4995"""
"""Ron Howard""","""6159""","""45447"""
"""Ron Howard""","""6159""","""832"""
"""Charles Martin Smith""","""1270""","""33558"""
"""Charles Martin Smith""","""1270""","""2464"""
"""Charles Martin Smith""","""1270""","""91886"""
"""Charles Martin Smith""","""1270""","""1592"""
"""Robert De Niro""","""380""","""428"""
"""Robert De Niro""","""380""","""49822"""
"""Mark Rydell""","""21958""","""1124"""
"""Mark Rydell""","""21958""","""5161"""
"""Mark Rydell""","""21958""","""3109"""
"""Mark Rydell""","""21958""","""6735"""
"""Mark Rydell""","""21958""","""4290"""
"""John Huston""","""6593""","""5796"""
"""John Huston""","""6593""","""1303"""
"""John Huston""","""6593""","""7948"""
"""John Huston""","""6593""","""913"""
"""John Huston""","""6593""","""4428"""
"""John Huston""","""6593""","""3685"""
"""John Huston""","""6593""","""1254"""
"""John Huston""","""6593""","""6450"""
"""John Huston""","""6593""","""4039"""
"""John Huston""","""6593""","""6461"""
"""John Huston""","""6593""","""5986"""
"""John Huston""","""6593""","""969"""
"""John Huston""","""6593""","""3364"""
"""John Huston""","""6593""","""3334"""
"""John Huston""","""6593""","""7946"""
"""John Huston""","""6593""","""7583"""
"""John Huston""","""6593""","""7944"""
"""John Huston""","""6593""","""4098"""
"""John Huston""","""6593""","""5915"""
"""John Huston""","""6593""","""970"""
"""John Huston""","""6593""","""7947"""
"""H.B. Halicki""","""58499""","""26322"""
"""Ken Shapiro""","""99339""","""26323"""
"""Ken Shapiro""","""99339""","""5768"""
"""Sylvester Stallone""","""16483""","""2409"""
"""Sylvester Stallone""","""16483""","""79695"""
"""Sylvester Stallone""","""16483""","""49651"""
"""Sylvester Stallone""","""16483""","""5694"""
"""Sylvester Stallone""","""16483""","""2410"""
"""Sylvester Stallone""","""16483""","""2411"""
"""Sylvester Stallone""","""16483""","""57528"""
"""Paul Williams""","""35040""","""401"""
"""Gérard Depardieu""","""16927""","""50912"""
"""William Shatner""","""1748""","""1373"""
"""Rainer Werner Fassbinder""","""2725""","""69241"""
"""Rainer Werner Fassbinder""","""2725""","""32797"""
"""Rainer Werner Fassbinder""","""2725""","""81054"""
"""Rainer Werner Fassbinder""","""2725""","""6121"""
"""Rainer Werner Fassbinder""","""2725""","""6126"""
"""Rainer Werner Fassbinder""","""2725""","""5473"""
"""Rainer Werner Fassbinder""","""2725""","""31522"""
"""Rainer Werner Fassbinder""","""2725""","""31524"""
"""Rainer Werner Fassbinder""","""2725""","""6509"""
"""Adrian Hoven""","""32552""","""76303"""
"""Bruce Robinson""","""8966""","""1202"""
"""Bruce Robinson""","""8966""","""91128"""
"""Bruce Robinson""","""8966""","""3557"""
"""Bruce Robinson""","""8966""","""4605"""
"""Peter Masterson""","""71732""","""2069"""
"""Jodie Foster""","""1038""","""86852"""
"""Jodie Foster""","""1038""","""57"""
"""Jodie Foster""","""1038""","""157200"""
"""Jodie Foster""","""1038""","""4787"""
"""Bruce Kimmel""","""57110""","""104662"""
"""Roman Polanski""","""3556""","""70927"""
"""Roman Polanski""","""3556""","""42900"""
"""Roman Polanski""","""3556""","""90430"""
"""Roman Polanski""","""3556""","""5995"""
"""Roman Polanski""","""3556""","""7069"""
"""Roman Polanski""","""3556""","""347"""
"""Roman Polanski""","""3556""","""8928"""
"""Roman Polanski""","""3556""","""3355"""
"""Roman Polanski""","""3556""","""109161"""
"""Roman Polanski""","""3556""","""37736"""
"""Roman Polanski""","""3556""","""229"""
"""Roman Polanski""","""3556""","""2160"""
"""Roman Polanski""","""3556""","""4506"""
"""Roman Polanski""","""3556""","""6858"""
"""Roman Polanski""","""3556""","""3075"""
"""Roman Polanski""","""3556""","""1252"""
"""Roman Polanski""","""3556""","""74545"""
"""Roman Polanski""","""3556""","""6530"""
"""Roman Polanski""","""3556""","""8923"""
"""Buck Henry""","""7795""","""2779"""
"""Mel Brooks""","""14639""","""3622"""
"""Mel Brooks""","""14639""","""3033"""
"""Mel Brooks""","""14639""","""2300"""
"""Mel Brooks""","""14639""","""26386"""
"""Mel Brooks""","""14639""","""6203"""
"""Mel Brooks""","""14639""","""1278"""
"""Mel Brooks""","""14639""","""520"""
"""Mel Brooks""","""14639""","""12"""
"""Mel Brooks""","""14639""","""2301"""
"""Mel Brooks""","""14639""","""3671"""
"""David Zucker""","""12987""","""2463"""
"""David Zucker""","""12987""","""5500"""
"""David Zucker""","""12987""","""2791"""
"""David Zucker""","""12987""","""6888"""
"""David Zucker""","""12987""","""3868"""
"""David Zucker""","""12987""","""44972"""
"""David Zucker""","""12987""","""2060"""
"""David Zucker""","""12987""","""3869"""
"""Tommy Lee Jones""","""2176""","""85213"""
"""Tommy Lee Jones""","""2176""","""41863"""
"""Alan Alda""","""21278""","""5581"""
"""Alan Alda""","""21278""","""5745"""
"""Alan Alda""","""21278""","""31000"""
"""Jackie Chan""","""18897""","""27032"""
"""Jackie Chan""","""18897""","""7108"""
"""Jackie Chan""","""18897""","""5243"""
"""Jackie Chan""","""18897""","""6095"""
"""Jackie Chan""","""18897""","""2880"""
"""Jackie Chan""","""18897""","""42946"""
"""Jackie Chan""","""18897""","""26547"""
"""Jackie Chan""","""18897""","""2879"""
"""Christopher Reeve""","""20006""","""48159"""
"""Cheech Marin""","""11159""","""4089"""
"""Tommy Chong""","""63208""","""1194"""
"""Tommy Chong""","""63208""","""4415"""
"""Tommy Chong""","""63208""","""4834"""
"""Tommy Chong""","""63208""","""5428"""
"""Dan Aykroyd""","""707""","""2265"""
"""Daniel Stern""","""11511""","""5102"""
"""Abel Ferrara""","""39104""","""439"""
"""Abel Ferrara""","""39104""","""3272"""
"""Abel Ferrara""","""39104""","""426"""
"""Abel Ferrara""","""39104""","""2892"""
"""Abel Ferrara""","""39104""","""1114"""
"""Abel Ferrara""","""39104""","""152"""
"""Abel Ferrara""","""39104""","""7764"""
"""Abel Ferrara""","""39104""","""1785"""
"""Mel Gibson""","""2461""","""110"""
"""Mel Gibson""","""2461""","""491"""
"""Mel Gibson""","""2461""","""7318"""
"""Mel Gibson""","""2461""","""48304"""
"""Bill Murray""","""1532""","""7028"""
"""Jim Henson""","""55983""","""3397"""
"""Jim Henson""","""55983""","""2140"""
"""Jim Henson""","""55983""","""1967"""
"""Frank Oz""","""7908""","""2140"""
"""Frank Oz""","""7908""","""2746"""
"""Frank Oz""","""7908""","""3398"""
"""Frank Oz""","""7908""","""2770"""
"""Frank Oz""","""7908""","""60"""
"""Frank Oz""","""7908""","""4448"""
"""Frank Oz""","""7908""","""8373"""
"""Frank Oz""","""7908""","""1614"""
"""Frank Oz""","""7908""","""6999"""
"""Frank Oz""","""7908""","""53956"""
"""Frank Oz""","""7908""","""3809"""
"""Frank Oz""","""7908""","""4499"""
"""Albert Brooks""","""13""","""2829"""
"""Albert Brooks""","""13""","""3358"""
"""Albert Brooks""","""13""","""4276"""
"""Albert Brooks""","""13""","""1414"""
"""Albert Brooks""","""13""","""4197"""
"""Albert Brooks""","""13""","""42740"""
"""Leonard Nimoy""","""1749""","""1375"""
"""Leonard Nimoy""","""1749""","""3449"""
"""Leonard Nimoy""","""1749""","""5308"""
"""Leonard Nimoy""","""1749""","""1376"""
"""John Waters""","""10367""","""2926"""
"""John Waters""","""10367""","""2282"""
"""John Waters""","""10367""","""532"""
"""John Waters""","""10367""","""3858"""
"""John Waters""","""10367""","""8872"""
"""John Waters""","""10367""","""26680"""
"""John Waters""","""10367""","""2361"""
"""John Waters""","""10367""","""7920"""
"""John Waters""","""10367""","""5780"""
"""John Waters""","""10367""","""4863"""
"""Bob Balaban""","""12438""","""2552"""
"""Charles Haid""","""69791""","""5357"""
"""David Miller""","""22354""","""6830"""
"""David Miller""","""22354""","""3628"""
"""David Miller""","""22354""","""3737"""
"""Keith Gordon""","""33054""","""893"""
"""Keith Gordon""","""33054""","""7025"""
"""Keith Gordon""","""33054""","""6892"""
"""Keith Gordon""","""33054""","""3457"""
"""Mike Binder""","""24173""","""30898"""
"""Mike Binder""","""24173""","""5053"""
"""Mike Binder""","""24173""","""51931"""
"""James Keach""","""408""","""143377"""
"""Werner Herzog""","""6818""","""67504"""
"""Werner Herzog""","""6818""","""60333"""
"""Werner Herzog""","""6818""","""5059"""
"""Werner Herzog""","""6818""","""31549"""
"""Werner Herzog""","""6818""","""8267"""
"""Werner Herzog""","""6818""","""31547"""
"""Werner Herzog""","""6818""","""5056"""
"""Werner Herzog""","""6818""","""44671"""
"""Werner Herzog""","""6818""","""7063"""
"""Werner Herzog""","""6818""","""73572"""
"""Werner Herzog""","""6818""","""5121"""
"""Werner Herzog""","""6818""","""620"""
"""Werner Herzog""","""6818""","""85394"""
"""Werner Herzog""","""6818""","""3202"""
"""Werner Herzog""","""6818""","""53550"""
"""Werner Herzog""","""6818""","""5615"""
"""Werner Herzog""","""6818""","""70488"""
"""Werner Herzog""","""6818""","""5489"""
"""Werner Herzog""","""6818""","""34542"""
"""Werner Herzog""","""6818""","""66019"""
"""Werner Herzog""","""6818""","""2970"""
"""Werner Herzog""","""6818""","""72405"""
"""Werner Herzog""","""6818""","""3002"""
"""Griffin Dunne""","""2171""","""100083"""
"""Griffin Dunne""","""2171""","""2316"""
"""Griffin Dunne""","""2171""","""1541"""
"""Ringo Starr""","""10594""","""51044"""
"""Bill Cosby""","""51962""","""8827"""
"""Peter Barton""","""59442""","""164979"""
"""Dennis Dugan""","""17494""","""4149"""
"""Dennis Dugan""","""17494""","""59900"""
"""Dennis Dugan""","""17494""","""1431"""
"""Dennis Dugan""","""17494""","""54004"""
"""Dennis Dugan""","""17494""","""6014"""
"""Dennis Dugan""","""17494""","""85367"""
"""Dennis Dugan""","""17494""","""2694"""
"""Dennis Dugan""","""17494""","""79134"""
"""Dennis Dugan""","""17494""","""90890"""
"""Dennis Dugan""","""17494""","""104218"""
"""Dennis Dugan""","""17494""","""44840"""
"""Dennis Dugan""","""17494""","""2798"""
"""Dennis Dugan""","""17494""","""104"""
"""Ed Harris""","""228""","""4017"""
"""Tom Savini""","""11161""","""8225"""
"""Harold Ramis""","""1524""","""2795"""
"""Harold Ramis""","""1524""","""5900"""
"""Harold Ramis""","""1524""","""69436"""
"""Harold Ramis""","""1524""","""3552"""
"""Harold Ramis""","""1524""","""719"""
"""Harold Ramis""","""1524""","""40959"""
"""Harold Ramis""","""1524""","""1265"""
"""Harold Ramis""","""1524""","""3968"""
"""Harold Ramis""","""1524""","""2539"""
"""Harold Ramis""","""1524""","""312"""
"""Sean Penn""","""2228""","""7789"""
"""Sean Penn""","""2228""","""78"""
"""Sean Penn""","""2228""","""4056"""
"""Sean Penn""","""2228""","""55247"""
"""Edward James Olmos""","""587""","""72308"""
"""Edward James Olmos""","""587""","""6022"""
"""Eddie Murphy""","""776""","""4602"""
"""Marc Singer""","""35350""","""7932"""
"""Kevin Bacon""","""4724""","""1531"""
"""Paul Bartel""","""101377""","""5940"""
"""Paul Bartel""","""101377""","""7991"""
"""Paul Bartel""","""101377""","""8927"""
"""Paul Bartel""","""101377""","""4660"""
"""Bruce Campbell""","""11357""","""66427"""
"""Jennifer Jason Leigh""","""10431""","""4345"""
"""Steve Antin""","""42745""","""83086"""
"""Melanie Mayron""","""83313""","""343"""
"""Melanie Mayron""","""83313""","""136592"""
"""Luca Bercovici""","""29383""","""3961"""
"""Sammo Kam-Bo Hung""","""62410""","""1858"""
"""John Stockwell""","""57082""","""49528"""
"""John Stockwell""","""57082""","""4372"""
"""John Stockwell""","""57082""","""101884"""
"""John Stockwell""","""57082""","""5524"""
"""John Stockwell""","""57082""","""37853"""
"""Peter Billingsley""","""12708""","""71668"""
"""Dave Thomas""","""61961""","""5650"""
"""Dave Thomas""","""61961""","""4592"""
"""Rick Moranis""","""8872""","""5650"""
"""Mitchell Lichtenstein""","""57055""","""57910"""
"""Danny DeVito""","""518""","""6763"""
"""Danny DeVito""","""518""","""6997"""
"""Danny DeVito""","""518""","""837"""
"""Danny DeVito""","""518""","""4333"""
"""Danny DeVito""","""518""","""4681"""
"""Danny DeVito""","""518""","""5265"""
"""Tom Hanks""","""31""","""1042"""
"""Tom Hanks""","""31""","""87522"""
"""Peter Horton""","""44990""","""4079"""
"""Peter Horton""","""44990""","""219"""
"""Drew Barrymore""","""69597""","""71518"""
"""Anjelica Huston""","""5657""","""1397"""
"""John Malkovich""","""6949""","""6335"""
"""Bernhard Wicki""","""9894""","""3062"""
"""Emilio Estevez""","""2880""","""49280"""
"""Emilio Estevez""","""2880""","""2260"""
"""Emilio Estevez""","""2880""","""5438"""
"""Eugene Levy""","""26510""","""7186"""
"""Hart Bochner""","""7678""","""833"""
